Loại KH,Tên Công Ty/Đơn Vị,Họ Tên Chủ,SĐT,Tỉnh,Quận/Huyện,Địa Chỉ,Nguồn,Thông Tin Chi Tiết,Khu vực
Nhà Thầu/KTS,Công Ty CP WEDO,,938896767,Hà Nội,Đống Đa,"Tầng 10 Tòa nhà văn phòng anh minh 36 hoàng cầu Đống Đa,HN",Data tổng hợp,,Miền Bắc
Nhà Thầu/KTS,Công Ty Kiến Trúc và Nội Thất VC HOME,,0985586425/0365663966,Hà Nội,Mê Linh,"Thôn Bạch Trữ,Xã Tiến Thắng,Mê Linh,HN",Data tổng hợp,,Miền Bắc
Nhà Thầu/KTS,Công Ty CP kiến trúc và xây dựng BeTa Việt,,915010800,Hà Nội,Hà Đông,"Tòa BeTa Viet,KĐT Thanh Hà,P Kiến Hưng, Q.Hà Đông,Hà Nội",Data tổng hợp,,Miền Bắc
Nhà Thầu/KTS,Cty CP Kiến Trúc Xây Dựng MasHome,,986191303,Hà Nội,Thanh Xuân,"Tầng 6 Tòa 619 Nguyễn Trãi,Thanh Xuân,Hà Nội",Data tổng hợp,,Miền Bắc
Nhà Thầu/KTS,Cty xây dựng T&H,,913226444,Hải Dương,Phạm Ngũ Lão,"218 Nguyễn Lương Bằng,Phạm Ngũ Lão,Hải Dương",Data tổng hợp,,Miền Bắc
Nhà Thầu/KTS,Cty CP thiết kế xây dựng luxhouse,,906250789,Hải Dương,Tân Bình,"76 Đường nhữ đình hiền,p Tân Bình,tp Hải Dương",Data tổng hợp,,Miền Bắc
Nhà Thầu/KTS,Cty xây dựng số 18,,2203890082,Hải Dương,Tân Bình,"245 Nguyễn Lương Bằng,p Tân Bình,tp Hải Dương",Data tổng hợp,,Miền Bắc
Nhà Thầu/KTS,Cty cổ phần đầu tư xây dựng DelCo,,0936781080/02432000975,Hải Dương,Cẩm Gìang,"KCN Phúc Điền,Cẩm Giàng,Hải Dương",Data tổng hợp,,Miền Bắc
Nhà Thầu/KTS,Cty CP mỹ nghệ Hải Minh,,02283798870/0918653838,Nam Định,Hải Hậu,"Số 1 Làng Nghề 2 xã Hải Minh,Hải Hậu,Nam Định",Data tổng hợp,,Miền Bắc
Nhà Thầu/KTS,Cty Nhà Thầu Xây Dựng Lạc Việt,,0912224577/0815277277,Nam Định,Vụ Bản,"CCN Xã Trung Thanh,H Vụ Bản,Nam Định",Data tổng hợp,,Miền Bắc
Nhà Thầu/KTS,Cty CPDT&XD Tiền Hải,,375686886,Thái Bình,Tiền Hải,Khu 5 tt Tiền Hải tp Thái Bình,Data tổng hợp,,Miền Bắc
Nhà Thầu/KTS,Cty CP IKINA Thiết Kế Nội Thất,,0949588456/ 090111135,Thái Bình,Trần Lãm,"Lô 62 Lê Qúy Đôn,p Trần Lãm,Thái Bình",Data tổng hợp,,Miền Bắc
Nhà Thầu/KTS,Cty TNHH Thương Mại Xây Dựng An Trường Sơn,,915716238,Ninh Bình,Tam Điệp,Số 21/4 Đường Quyết Thắng p Trung Sơn tp Tam Điệp,Data tổng hợp,,Miền Bắc
Nhà Thầu/KTS,Cty TNHH Tư Vấn Xây Dựng Phát Triển Đô Thị,,904133757,Ninh Bình,Tân Thành,"Số 2 ngõ 88 đường Lê Thái Tổ p Tân Thành,Ninh Bình",Data tổng hợp,,Miền Bắc
Nhà Thầu/KTS,Nhà Đẹp NB,,399828879,Ninh Bình,tp Ninh Bình,,Data tổng hợp,,Miền Bắc
Nhà Thầu/KTS,Cty TNHH Nội Thất Tiến Bộ,,961221661,Hưng Yên,Mỹ Hào,"Đường Nguyễn Thiện Thuận,tx Mỹ Hào,Hưng Yên",Data tổng hợp,,Miền Bắc
Nhà Thầu/KTS,Cty TNHH Quảng Cáo&Nội Thất Trường Thi,,981948883,Hưng Yên,Văn Lâm,Thôn Ao xã Minh Hải huyện Văn Lâm Hưng Yên,Data tổng hợp,,Miền Bắc
KH Mới,Đại Lý Hạnh Đà,,0988827983/ 0869551399,Hà Nội,Quốc Oai,,Data tổng hợp,,Miền Bắc
KH Mới,Đại Lý Sơn Tùng HBO,,363058363,Quảng Ninh,Hoành Bồ,Số 255 tổ 5 khu 10 phường hoành bồ,Data tổng hợp,,Miền Bắc
KH Mới,Đại Lý Tuấn Phạm,,986018055,Hải Dương,Tứ Kỳ,"Thôn Thị Tứ xã Hưng Đạo,Huyện Tứ Kỳ,Hải Dương",Data tổng hợp,,Miền Bắc
KH Mới,Đại Lý Thư Thanh,,0975670208/0976879139,Hải Dương,Tứ Kỳ,Hưng Đạo Huyện Tứ Kỳ,Data tổng hợp,,Miền Bắc
KH Mới,Đại Lý Thành Đạt,,983487182,Hải Dương,Nam Sách,28 Trần Hưng Đạo tt Nam Sách huyện Nam Sách,Data tổng hợp,,Miền Bắc
KH Mới,Cửa Thép Chí Linh,,975689676,Hải Dương,Phả Lại,"354 Đường Lê Thánh Tông,Phả Lại,Chí Linh",Data tổng hợp,,Miền Bắc
KH Mới,Đại Lý koffmann Hoàng Phát,,0983792888/0932792888,Hải Phòng,Kiến An,"349 Trường Chinh,Kiến An,Hải Phòng",Data tổng hợp,,Miền Bắc
KH Mới,Đại Lý Minh Đoàn,,0972898655/ 0944073835,Nam Định,Nghĩa Hưng,"Đội 1,xã Phúc Thắng,Nghĩa Hưng,Nam Định",Data tổng hợp,,Miền Bắc
KH Mới,Đại Lý Qúy Phượng,,978505733,Nam Định,Ý Yên,"Yên Bình,Ý Yên,Nam Định",Data tổng hợp,,Miền Bắc
KH Mới,Đại Lý Nguyễn Cơ,,988069726,Nam Định,Hải Hậu,"Cầu Hải Quang 1,Hải Hậu,Nam Định",Data tổng hợp,,Miền Bắc
KH Mới,Đại Lý Xuân Đông,,0916811436/ 0374805503,Nam Định,Trực Ninh,"Vị Nghĩa,TT Ninh Cường,Trực Ninh,Nam Định",Data tổng hợp,,Miền Bắc
KH Mới,Đại Lý Xuân Nhiên,,982662890,Nam Định,Vụ Bản,"Quang Trung,Vụ Bản,Nam Định",Data tổng hợp,,Miền Bắc
KH Mới,Cửa Thép Vân Gỗ Thái Bình,,0962378479/ 0984320360,Ninh Bình,Tam Điệp,"166 Đồng Giao,P Bắc Sơn,Tam Điệp,Ninh Bình",Data tổng hợp,,Miền Bắc
KH Mới,Đại Lý Koffmann Tam Điệp,,0968993719/ 0974532669,Ninh Bình,Tam Điệp,"138 Đường Quyết Thắng,p Trung Sơn,Tam Điệp,Ninh Bình",Data tổng hợp,,Miền Bắc
KH Mới,Đại Lý Bảo Khánh,,934462223,Thái Bình,Trần Lâm,"Số 7/16 Đường Lê Qúy Đôn,p Trần Lâm,TP Thái Bình",Data tổng hợp,,Miền Bắc
KH Mới,Đại Lý Pho Luyến,,962348858,Thái Bình,Kiến Xương,Huyện Kiến Xương,Data tổng hợp,,Miền Bắc
KH Mới,Đại Lý Chinh Diễn,,976207387,Thái Bình,Đông Hưng,"Huyện Đông Hưng,Thái Bình",Data tổng hợp,,Miền Bắc
KH Mới,Đại Lý Đức Tiến,,816562777,Thái Bình,Tiền Hải,Số 93 Phố Tiểu Hoàng TT Tiền Hải,Data tổng hợp,,Miền Bắc
KH Mới,Đại Lý Dương Hòa Phát,,988798786,Thái Bình,Thái Thụy,Huyện Thái Thụy,Data tổng hợp,,Miền Bắc
KH Mới,Đại Lý Hoàng giáp,,907332799,Hưng Yên,Kim Động,"Tam Đa,Đức Hợp ,Kim Động,Hưng Yên",Data tổng hợp,,Miền Bắc
KH Mới,Đại Lý Văn giỏi,,986683024,Hưng Yên,Khoái Châu,"Khoái Châu,Khoái Châu,Hưng Yên",Data tổng hợp,,Miền Bắc
KH Mới,Đại Lý Huy Phương,,962340939,Hưng Yên,Văn Giang,"C2HG,Văn Giang,Hưng Yên",Data tổng hợp,,Miền Bắc
KH Mới,Đại Lý Bùi Quyết,,975876641,Thái Nguyên,tp Thái Nguyên,700 Lương Ngọc Quyến.tp Thái Nguyên,Data tổng hợp,,Miền Bắc
KH Mới,Đại Lý Anh Quân,,348216648,Thái Nguyên,tp Thái Nguyên,"291 Đường CMT8,TP Sông Công,Thái Nguyên",Data tổng hợp,,Miền Bắc
KH Mới,Đại Lý Trần Hưng,,782074083,Thái Nguyên,Phú Bình,"Thuần Pháp,Điềm Thụy,Phú Bình,Thái Nguyên",Data tổng hợp,,Miền Bắc
KH Mới,Đại Lý Chiến Lệ,,364081859,Hòa Bình,Cao Phong,"Số 77 Khu 1 TT Cao Phong,Hòa Bình",Data tổng hợp,,Miền Bắc
KH Mới,Đại Lý Phúc An,,365976935,Quảng Bình,Đồng Hới,"Đường Phạm Văn Đồng,tp Đồng Hới,Quảng Bình",Data tổng hợp,,Miền Bắc
ĐL Nhôm,Sơn Hoa,,934440990,Hà Nội,Sơn Tây,Sơn Tây,Data tổng hợp,,Miền Bắc
ĐL Nhôm,Minh Đạt,,982976687,Hà Nội,,,Data tổng hợp,,Miền Bắc
ĐL Nhôm,Hoàng Linh,,904007717,Thái Nguyên,Thái Nguyên,TP Thái Nguyên,Data tổng hợp,,Miền Bắc
ĐL Nhôm,Ngọc Quyên,,982799881,Bắc Giang,Bắc Giang,Bắc Giang,Data tổng hợp,,Miền Bắc
ĐL Nhôm,Hải Long,,965357366,Bắc Giang,Lạng Giang,Lạng Giang,Data tổng hợp,,Miền Bắc
ĐL Nhôm,Hợp Huyền,,901500345,Bắc Giang,Lạng Giang,Lạng Giang,Data tổng hợp,,Miền Bắc
ĐL Nhôm,Hùng Hiệp,,944863263,Bắc Giang,Lục Nam,"Lục Nam, Sơn Động",Data tổng hợp,,Miền Bắc
ĐL Nhôm,Tuấn Anh,,985287570,Bắc Giang,Lục Nam,"Lục Nam,",Data tổng hợp,,Miền Bắc
ĐL Nhôm,Lâm Thịnh,,989550216,Lạng Sơn,Lạng Sơn,Lạng Sơn,Data tổng hợp,,Miền Bắc
ĐL Nhôm,Lê Dựng,,973356288,Nam Định,"ý Yên,Vụ Bản",Nam Định,Data tổng hợp,,Miền Bắc
ĐL Nhôm,Thiện Loan,,967733866,Thanh Hóa,Đông Sơn,Thanh Hóa,Data tổng hợp,,Miền Bắc
ĐL Nhôm,Hồng Quân,,904982357,Thanh Hóa,TP Thanh Hóa,Thanh Hóa,Data tổng hợp,,Miền Bắc
ĐL Nhôm,An Vượng,,985983486,Thanh Hóa,Hậu Lộc,Thanh Hóa,Data tổng hợp,,Miền Bắc
ĐL Nhôm,Đức Anh,,942369234,Hải Phòng,,Hải Phòng,Data tổng hợp,,Miền Bắc
